AccountID,CustomerID,AccountTypeID,AccountStatusID,Balance,
200094,10123,3,1,48348.54,
201108,10077,3,1,35001.41,
201453,10321,3,2,57081.03,
200581,10871,5,1,63164.33,
200003,10765,1,1,58739.64,
201097,10903,1,1,45430.05,
201343,10681,5,1,15435.59,
201250,11038,5,1,52166.08,
201001,10655,4,2,14569.86,
200342,10672,4,1,76080.75,
200892,10352,2,1,81466.67,
200919,10981,4,1,7162.42,
200883,10262,5,1,96755.41,
200478,10207,2,1,97341.47,
201012,10509,1,3,85030.52,
200910,10582,3,3,63487.32,
201488,10796,4,1,30363.58,
200828,10792,3,1,42829.95,
200757,10535,3,1,75543.44,
201331,11051,1,1,15923.19,
200761,10583,5,1,66945.73,
200611,10777,3,1,52143.22,
200164,10556,1,1,64746.74,
201595,11083,1,1,21641.13,
201025,10181,1,1,21398.11,
201302,10877,5,1,13689.45,
200806,10133,3,1,44471.11,
200975,10997,2,2,58687.34,
200473,10562,5,1,10594.45,
200949,10327,2,2,5215.19,
200241,10770,2,1,22583.96,
200816,10298,2,1,17693.91,
200262,10850,4,1,70727.24,
200730,10738,1,1,47523.73,
200855,10812,4,1,24602.31,
200985,10828,1,1,11914.04,
200960,10739,2,1,52107.05,
201479,10519,5,1,43902.35,
200350,10419,4,1,76198.19,
201495,10428,2,1,28566.86,
201248,10923,2,1,13715.4,
201054,10692,5,2,17254.85,
200588,10296,5,1,48270.26,
200124,10661,2,3,46628.24,
201130,10331,4,1,72455.96,
200634,10324,3,1,72073.9,
200595,10991,1,2,38432.58,
200798,10224,5,3,8837.62,
200901,10936,4,1,22947.15,
200088,10024,3,1,26174.79,
201383,10066,2,1,29435.63,
200641,10528,3,1,74153.48,
200931,10340,3,2,14835.88,
201543,10236,5,1,3399.25,
200836,10883,5,1,-233.87,
201028,10145,3,1,6784.78,
201512,10194,2,1,61227.34,
200357,10030,1,1,33379.74,
200374,10745,3,1,82926.12,
201168,11042,1,1,8278.63,
200835,10913,4,3,70736.67,
200672,10736,1,1,33094.26,
201115,10014,1,2,83513.23,
201498,10723,1,1,60251.22,
201377,10592,2,3,4677.54,
201249,10072,4,1,42979.84,
201450,10657,4,1,45858.74,
200978,10619,2,1,47109.88,
201134,10390,1,1,61924.24,
201407,10152,2,1,43249.76,
201475,10718,4,1,80350.86,
201224,10072,3,1,78730.2,
200299,10053,1,1,77758.44,
200559,10568,1,1,69307.18,
200444,10779,1,1,4103.36,
201375,10956,2,1,93655.02,
201370,11081,3,1,45552.93,
201007,10541,3,1,19557.46,
200260,10742,1,2,66974.97,
200171,10729,1,1,19826.46,
200689,10205,1,1,80386.19,
200105,10625,5,2,33473.34,
