TransactionID,AccountOriginID,AccountDestinationID,TransactionTypeID,Amount,BranchID,Description
3022681,201164,200868,2,855.17,41,Transaction 22681
3037846,200138,201402,2,806.2,43,Transaction 37846
3045293,201002,201180,1,1229.44,5,Transaction 45293
3017397,201066,201144,4,4441.6,14,Transaction 17397
3016750,200289,201413,3,2526.2,37,Transaction 16750
3020141,200144,200319,3,1498.48,20,Transaction 20141
3039836,201137,200095,1,2556.13,34,Transaction 39836
3018170,201594,200292,2,2321.85,14,Transaction 18170
3048888,201340,200210,3,1649.81,50,Transaction 48888
3048575,200503,201417,1,632.38,22,Transaction 48575
3035456,200834,200689,1,4144.61,39,Transaction 35456
3046999,201487,200533,3,553.42,29,Transaction 46999
3035368,200269,201432,2,3636.67,19,Transaction 35368
3042712,200222,200292,2,3903.66,34,Transaction 42712
3045075,200958,200185,1,3389.96,24,Transaction 45075
3015406,201558,200240,1,1546.75,38,Transaction 15406
3010749,201142,201558,2,3775.4,27,Transaction 10749
3010357,200477,201074,2,361.29,33,Transaction 10357
3032690,200004,200636,2,1725.88,19,Transaction 32690
3042116,201098,201483,3,4721.78,43,Transaction 42116
3040934,200307,200231,2,2906.01,17,Transaction 40934
3005216,200770,200855,1,4399.79,30,Transaction 5216
3043668,200256,200211,2,264.71,5,Transaction 43668
3049435,200626,200995,1,1597.3,23,Transaction 49435
3018838,200255,200686,1,3071.24,18,Transaction 18838
3019425,201204,201624,4,3070.49,12,Transaction 19425
3008589,200722,201019,1,3073.81,18,Transaction 8589
3002018,200483,200761,3,1545.33,47,Transaction 2018
3042350,200330,201525,2,3902.81,42,Transaction 42350
3041095,201176,201335,3,1143.29,38,Transaction 41095
3034931,201032,200181,2,4706.64,5,Transaction 34931
3013785,200632,201238,2,4137.87,10,Transaction 13785
3046413,200260,200497,2,1056.54,2,Transaction 46413
3019230,200591,200838,2,1546.1,8,Transaction 19230
3042732,201039,200217,3,4167.54,47,Transaction 42732
3018683,201337,200416,1,3028.09,11,Transaction 18683
3000862,201418,201224,2,2812.16,1,Transaction 862
3004383,201271,200837,1,4174.04,35,Transaction 4383
3026422,201531,200997,3,4036.57,24,Transaction 26422
3011383,201013,200692,4,267.09,20,Transaction 11383
3018596,200609,201139,2,2746.06,9,Transaction 18596
3010481,200599,200587,4,1384.76,12,Transaction 10481
3016841,200474,200769,3,2063.54,48,Transaction 16841
3004738,200867,201216,3,4012.55,17,Transaction 4738
3042376,200822,201233,3,4431.79,1,Transaction 42376
3018250,200526,201230,3,2929.51,40,Transaction 18250
3031390,200633,200694,1,3737.57,45,Transaction 31390
3034975,200782,201447,3,3348.16,49,Transaction 34975
3046724,201229,200137,4,3198.7,43,Transaction 46724
3005630,200658,200327,1,1573.52,1,Transaction 5630
3015768,200269,201451,4,4950.14,7,Transaction 5768
3048467,200842,201040,4,3427.48,11,Transaction 48467
3010840,201637,200916,4,4171.57,40,Transaction 10840
3028301,200086,201396,2,1278.14,17,Transaction 28301
3031467,201540,200544,3,4445.22,49,Transaction 31467
3037589,200180,200152,4,4726.4,19,Transaction 37589
3041294,201627,200900,2,1199.68,48,Transaction 41294
3037773,201318,200532,3,631.37,34,Transaction 37773
3016471,201625,200594,2,2620.01,48,Transaction 16471
3014253,201509,201423,2,3017.29,33,Transaction 14253
3014622,200975,200789,1,756.41,3,Transaction 14622
3037367,200735,201390,2,1471.08,45,Transaction 37367
3017323,201122,200986,1,1344.99,12,Transaction 17323
3023106,200657,200084,1,2733.77,33,Transaction 23106
3024261,201025,200552,4,4017.59,46,Transaction 24261
3040691,200297,201247,3,288.83,9,Transaction 40691
3040398,201353,201159,2,520.45,2,Transaction 40398
3009612,201427,200530,3,2981.74,8,Transaction 9612
3001023,200042,201314,3,3236.09,8,Transaction 1023
3001080,200923,200706,2,717.59,37,Transaction 1080
3027491,200839,200924,3,4708.29,38,Transaction 27491
3011045,200367,201260,2,2731.3,4,Transaction 11045
3046084,201491,200114,3,4465.14,14,Transaction 46084
3007099,200457,201167,1,1745.05,11,Transaction 7099
3014661,200058,200408,3,1391.51,1,Transaction 14661
3034534,200118,201633,3,1021.94,30,Transaction 34534
3013882,200573,200478,1,1366.96,5,Transaction 13882
3017705,200386,200859,1,4861.61,17,Transaction 17705
3030170,200782,200057,1,4755.47,26,Transaction 30170
3017440,200711,200668,1,1503.47,41,Transation 17440
3008047,200613,200191,4,3638.16,47,Transaction 8047
3041258,200690,200760,4,2252.47,7,Transaction 41258
3010525,200139,201262,3,4330.3,44,Transaction 10525
3004124,200480,200000,2,885,21,Transaction 4124
3038809,200716,200872,3,3750.5,33,Transaction 38809
3028576,200615,200262,2,3001.86,25,Transaction 28576
3000060,200266,200201,2,2352.89,27,Transaction 60
3040257,200469,201056,3,881.84,24,Transaction 40257
3017861,200341,200808,3,1120.88,41,Transaction 17861
3042666,200302,200090,2,2734.14,15,Transaction 42666
3017498,201566,201288,3,3299.68,49,Transaction 17498
3042660,200977,200901,2,3198.1,27,Transaction 42660
3035403,200093,200441,1,1330.36,10,Transaction 35403
3000916,200292,200775,3,3684.09,42,Transaction 916
3009131,200638,200113,2,1940.06,23,Transaction 9131
3025954,200373,201387,3,3682.82,32,Transaction 25954
3005586,201171,200654,3,2652.83,37,Transaction 5586
3009998,200806,201390,1,329.73,2,Transaction 9998
3012468,200785,201630,1,4851.12,44,Transaction 12468
3024384,200385,200359,3,623.37,33,Transaction 24384
3019568,201194,201240,2,3397.71,20,Transaction 19568
3047429,200142,201161,1,3111.84,41,Transaction 47429
3000717,200620,200459,3,2665.96,37,Transaction 717
3038007,201011,200265,1,4765.37,25,Transaction 38007
3011829,200721,200118,1,1537.46,15,Transaction 11829
3046075,200621,201027,4,2905.62,3,Transaction 46075
3017528,200626,200574,2,2174.21,35,Transaction 17528
3023453,201261,201300,2,3307.35,27,Transaction 23453
3010410,201531,201098,1,1958.92,27,Transaction 10410
3045214,200822,200351,3,3844.61,8,Transaction 45214
3018483,201625,201366,1,3142.43,34,Transaction 18483
3041039,201407,200617,2,3724.71,44,Transaction 41039
3016677,200242,200561,1,2584.66,36,Transaction 16677
3004826,200950,201530,3,3327.61,43,Transaction 4826
3010518,200491,200808,1,2386.97,42,Transaction 10518
3043637,201295,201544,1,170.82,49,Transaction 43637
3022635,200643,200077,1,2857.37,41,Transaction 22635
3002349,200410,201249,2,4025.09,13,Transaction 2349
3002060,200492,201455,1,3322.6,18,Transaction 2060
3025316,200824,200858,2,3103.82,39,Transaction 25316
3005672,200003,201429,2,4110.65,30,Transaction 5672
3016123,201451,200467,3,1269.41,34,Transaction 16123
3000665,201431,201209,2,4971.05,36,Transaction 665
3040747,200277,200723,4,2164.86,39,Transaction 40747
3045803,200989,201327,3,1737.05,20,Transaction 45803
3039806,200139,201190,1,7.77,34,Transaction 39806
3013115,201100,200602,1,2091.95,17,Transaction 13115
3030330,201072,200990,1,2989.78,14,Transaction 30330
3011190,200814,201628,2,3554.15,9,Transaction 11190
3027466,200267,200676,1,2961.69,16,Transaction 27466
3048832,200831,200409,2,4138.08,28,Transaction 48832
3041186,201198,200778,2,1320.73,24,Transaction 41186
3038658,200453,200597,1,4761.73,41,Transaction 38658
3008827,200259,200950,3,2272.35,1,Transaction 8827
3008559,200758,200499,4,4604,15,Transaction 8559
3041500,200217,200678,3,416.25,37,Transaction 41500
3042189,201498,200894,2,4696.83,14,Transaction 42189
3045960,200184,201019,2,2352.45,21,Transaction 45960
3026661,200725,200896,3,4829.14,32,Transaction 26661
3048405,200251,200147,3,3958.23,30,Transaction 48405
3000416,200678,200273,3,2516.16,25,Transaction 416
3039782,201626,200815,3,647.48,24,Transaction 39782
3044105,200291,201151,3,1941.05,15,Transaction 44105
3037521,201216,201584,1,3777.47,48,Transaction 37521
3037964,201035,200065,1,880.68,38,Transaction 37964
3048217,200392,201450,2,841.2,46,Transaction 48217
3029903,200315,200400,1,4773.48,48,Transaction 29903
3039041,201016,201425,1,4863.73,7,Transaction 39041
3037656,201612,200351,3,1187.46,44,Transaction 37656
3047029,201320,200189,3,3286.45,22,Transaction 47029
3024716,200673,200975,1,3765.97,15,Transaction 24716
3030884,200711,200423,2,3704.82,14,Transaction 30884
3045592,200545,200864,2,1385.51,8,Transaction 45592
3007457,201328,201070,1,656.02,20,Transaction 7457
3004464,200502,201552,1,2594.64,12,Transaction 4464
3007063,200841,201431,1,2762.64,9,Transaction 7063
3036474,200284,200854,2,1391.08,14,Transaction 36474
3003666,200444,200920,3,9.82,38,Transaction 3666
3030397,200605,201262,1,4698.78,22,Transaction 30397
3024034,200297,200517,1,3862.18,44,Transaction 24034
3013160,201048,201000,2,1416.85,2,Transaction 13160
3012788,200930,200164,1,834.32,40,Transaction 12788
3010965,200726,201059,3,4318.42,17,Transaction 10965
3002029,200065,201261,2,3252.26,5,Transaction 2029
